date,close,diff,start,high,low,volume
2019-03-05,71300,100,70900,72000,70300,417224
2019-03-06,74400,3100,72300,74600,72300,1630920
2019-03-07,75100,700,75200,76700,74200,1846111
2019-03-08,73700,-1400,75000,76100,73300,734055
2019-03-11,75300,1600,74000,75900,73000,796316
2019-03-12,74400,-900,75700,76100,74200,642759
2019-03-13,76300,1900,74500,76300,74300,671827
2019-03-14,77500,1200,76600,78100,75800,1256548
2019-03-15,77200,-300,77600,78200,77000,922796
2019-03-18,78200,1000,78000,78800,77400,585035
2019-03-19,76100,-2100,78100,78600,75300,874127
2019-03-20,77400,1300,76500,77500,76000,623145
2019-03-21,74100,-3300,77400,77400,73800,1570980
2019-03-22,76100,2000,74100,76200,72800,1456647
2019-03-25,73000,-3100,74900,75100,73000,806732
2019-03-26,73300,300,73800,75100,73000,778354
2019-03-27,73900,600,74000,74900,73800,511443
2019-03-28,72200,-1700,73600,74300,71800,838816
2019-03-29,75100,2900,72500,75100,72500,1064758
2019-04-01,76800,1700,75500,76800,75100,626814
2019-04-02,75900,-900,77000,78100,75500,691913
2019-04-03,76500,600,76000,77700,76000,887694
2019-04-04,75600,-900,77100,77100,75000,794535
2019-04-05,75800,200,75600,77500,74500,1051488
2019-04-08,76400,600,76500,77300,75500,763891
2019-04-09,77600,1200,77200,77900,76400,1049976
2019-04-10,77200,-400,77500,78400,76800,863213
2019-04-11,77400,200,78000,78000,76800,603065
2019-04-12,76000,-1400,77600,77800,75800,806869
2019-04-15,76600,600,76600,77100,76000,630842
2019-04-16,77900,1300,76400,78000,76300,767127
2019-04-17,75900,-2000,77900,78000,75700,996833
2019-04-18,74000,-1900,75900,76500,73800,935012
2019-04-19,73900,-100,74600,74900,73600,451650
2019-04-22,73500,-400,74400,74500,73100,422266
2019-04-23,74200,700,73000,74300,73000,456648
2019-04-24,73700,-500,75400,75400,73500,611885
2019-04-25,77000,3300,74200,77000,74100,1382565
2019-04-26,74800,-2200,76200,76800,74500,666597
2019-04-29,75900,1100,75100,75900,74700,413655
2019-04-30,75800,-100,75900,76200,74700,476352
2019-05-02,76800,1000,75300,76900,75300,574899
2019-05-03,76600,-200,76500,77200,75900,409579
2019-05-07,77000,400,75200,77400,75100,685250
2019-05-08,76300,-700,76300,77100,75900,469011
2019-05-09,73300,-3000,76100,76500,73300,882026
2019-05-10,72400,-900,73300,74100,71700,889534
2019-05-13,70400,-2000,72400,72500,70200,863415
2019-05-14,71500,1100,69800,72200,69700,675293
2019-05-15,72500,1000,71500,72800,71400,481239
2019-05-16,71000,-1500,72500,73300,70300,797872
2019-05-17,70900,-100,71600,72700,70600,577604
2019-05-20,70500,-400,71500,71800,70400,455147
2019-05-21,72900,2400,70000,74000,70000,977936
2019-05-22,73100,200,73800,74000,72300,570131
2019-05-23,75300,2200,74300,75700,73600,1020203
2019-05-24,76300,1000,75300,76900,75300,996814
2019-05-27,76600,300,76000,77100,75500,534540
2019-05-28,77500,900,76800,77800,76600,849444
2019-05-29,77000,-500,77300,77600,76000,566640
2019-05-30,78400,1400,77500,78400,77100,595073
2019-05-31,78600,200,78400,79000,76900,964303
2019-06-03,81000,2400,78300,81000,77700,1199365
2019-06-04,78600,-2400,81100,81200,78600,746768
2019-06-05,77600,-1000,79400,79800,77300,686357
2019-06-07,78300,700,78000,79300,77900,586903
2019-06-10,77900,-400,79100,79200,76500,788511
2019-06-11,82600,4700,79100,82600,78600,1765695
2019-06-12,82000,-600,82600,83400,81400,621262
2019-06-13,81900,-100,82500,82500,80500,616931
2019-06-14,80700,-1200,81500,81700,79800,697659
2019-06-17,80700,0,80500,82600,80400,511634
2019-06-18,81300,600,81100,81600,80700,336762
2019-06-19,80800,-500,82000,82200,80000,600944
2019-06-20,80500,-300,80700,81500,80000,426167
2019-06-21,80400,-100,80500,81100,79800,479526
2019-06-24,81300,900,81000,81300,80300,340793
2019-06-25,80300,-1000,81200,81300,79600,399565
2019-06-26,79300,-1000,79600,79900,78100,599410
